authors,title,average_rating
"Aristophanes, Sarah Ruden",Lysistrata,4.0
Elizabeth Kostova,The Swan Thieves,4.0
Karen Marie Moning,"Iced (Fever, #6)",4.0
Peter Clines,14,4.0
Gary D. Schmidt,Okay for Now,4.0
"Tim LaHaye, Jerry B. Jenkins","Assassins (Left Behind, #6)",4.0
Joe Abercrombie,"Red Country (First Law World, #6)",4.0
"Scott Jurek, Steve Friedman",Eat and Run: My Unlikely Journey to Ultramarathon Greatness,4.0
Karin Slaughter,"Broken (Will Trent, #4)",4.0
Elin Hilderbrand,The Matchmaker,4.0
"Tim LaHaye, Jerry B. Jenkins","The Mark (Left Behind, #8)",4.0
Marisa de los Santos,Belong to Me,4.0
Erin Hunter,"The Darkest Hour (Warriors, #6)",5.0
James Ellroy,"L.A. Confidential (L.A. Quartet, #3)",4.0
"Joss Whedon, Brett Matthews, Will Conrad","Those Left Behind (Serenity, #1)",4.0
Larry McMurtry,Terms of Endearment,4.0
Sherrilyn Kenyon,"Kiss of the Night (Dark-Hunter, #4)",4.0
Madeleine Wickham,The Wedding Girl,3.0
Max Lucado,He Chose the Nails,4.0
Ian Fleming,"From Russia With Love (James Bond, #5)",4.0
T.C. Boyle,The Tortilla Curtain,4.0
Melissa Marr,"Darkest Mercy (Wicked Lovely, #5)",4.0
R.L. Mathewson,"Checkmate (Neighbor from Hell, #3)",4.0
Terry Pratchett,"The Amazing Maurice and His Educated Rodents (Discworld, #28)",4.0
"Eugene B. Sledge, Paul Fussell",With the Old Breed: At Peleliu and Okinawa,4.0
"Eleanor Estes, Louis Slobodkin",The Hundred Dresses,4.0
Sarah Addison Allen,"Lost Lake (Lost Lake, #1)",4.0
Meredith Wild,"Hardwired (Hacker, #1)",4.0
Tracy Chevalier,The Last Runaway,4.0
Steven Erikson,"Midnight Tides (The Malazan Book of the Fallen, #5)",4.0
Kass Morgan,"The 100 (The 100, #1)",4.0
Alexandra Adornetto,"Hades (Halo, #2)",4.0
"Brian K. Vaughan, Pia Guerra, José Marzán Jr., Paul Chadwick","Y: The Last Man, Vol. 3: One Small Step (Y: The Last Man, #3)",4.0
"Karma Wilson, Jane Chapman",Bear Snores On,4.0
Lauren Graham,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",4.0
Gabrielle Zevin,Memoirs of a Teenage Amnesiac,4.0
"Brian Jacques, Gary Chalk","Salamandastron (Redwall, #5)",4.0
Melina Marchetta,"Finnikin of the Rock (Lumatere Chronicles, #1)",4.0
"Thomas Hardy, Alexander Theroux",The Return of the Native  ,4.0
"Michael Crichton, Richard   Preston",Micro,3.0
"Jean-Paul Sartre, Stuart Gilbert, Lionel Abel",No Exit and Three Other Plays,4.0
Greg Bear,Foundation and Chaos (Second Foundation Trilogy #2),4.0
P.D. James,Cover Her Face (Adam Dalgliesh #1),4.0
Kiersten White,"Supernaturally (Paranormalcy, #2)",4.0
Terry Brooks,"First King of Shannara (The Original Shannara Trilogy, #0)",4.0
Louise Penny,"Bury Your Dead (Chief Inspector Armand Gamache, #6)",4.0
Michael Connelly,"The Overlook (Harry Bosch, #13; Harry Bosch Universe, #15)",4.0
"Nathaniel Hawthorne, Robert S. Levine",The House of the Seven Gables,3.0
Erin Hunter,"Rising Storm (Warriors, #4)",4.0
Glennon Doyle Melton,Love Warrior,4.0
Louise Penny,"The Brutal Telling (Chief Inspector Armand Gamache, #5)",4.0
"Hannah  Green, Joanne Greenberg",I Never Promised You a Rose Garden,4.0
Cinda Williams Chima,"The Crimson Crown (Seven Realms, #4)",4.0
Shonda Rhimes,"Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person",4.0
"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",The Lover,4.0
Maya Banks,"Burn (Breathless, #3)",4.0
"Graham Greene, John Updike",The Power and the Glory,4.0
Marilynne Robinson,"Lila (Gilead, #3)",4.0
Stephanie Danler,Sweetbitter,3.0
Julia Quinn,"Romancing Mister Bridgerton (Bridgertons, #4)",4.0
"Edward Bloor, Danny De Vito",Tangerine,4.0
Richard Matheson,Hell House,4.0
Nora Roberts,The Liar,4.0
Lisa Gardner,"The Third Victim (Quincy & Rainie, #2)",4.0
Michael Connelly,"The Wrong Side of Goodbye (Harry Bosch, #21; Harry Bosch Universe, #26)",4.0
David Baldacci,"Hell's Corner (Camel Club, #5)",4.0
Nora Roberts,"Key of Valor (Key Trilogy, #3)",4.0
"Bryan Burrough, John Helyar",Barbarians at the Gate: The Fall of RJR Nabisco,4.0
Ann Leckie,"Ancillary Sword (Imperial Radch, #2)",4.0
"David Fishelson, Aaron Leichter, Max Brod, Franz Kafka",Franz Kafka's The Castle (Dramatization),4.0
Rysa Walker,"Timebound (The Chronos Files, #1)",4.0
"Catherynne M. Valente, Ana Juan","The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",4.0
Denise Grover Swank,"Twenty-Eight and a Half Wishes (Rose Gardner Mystery, #1)",4.0
"Douglas Preston, Lincoln Child","The Book of the Dead (Pendergast, #7; Diogenes, #3)",4.0
Chris Pavone,The Expats,3.0
Kathy Reichs,"Bare Bones (Temperance Brennan, #6)",4.0
Elin Hilderbrand,Beautiful Day,4.0
"Tim LaHaye, Jerry B. Jenkins","The Indwelling (Left Behind, #7)",4.0
Jeff Lindsay,"Dexter in the Dark (Dexter, #3)",3.0
"Hermann Hesse, Richard Winston, Clara Winston, Theodore Ziolkowski",The Glass Bead Game,4.0
Kevin Powers,The Yellow Birds,4.0
Harlan Coben,Just One Look,4.0
Katie Ashley,"The Proposal (The Proposition, #2)",4.0
"Gerald Durrell, Helma Lapiņa","My Family and Other Animals (Corfu Trilogy, #1)",4.0
Tawni O'Dell,Back Roads,4.0
Raymond Carver,Cathedral,4.0
J.K. Rowling,Fantastic Beasts and Where to Find Them: The Original Screenplay,4.0
"Stephen King, Robin A.H. Waterfield",The Body,4.0
Donald Miller,A Million Miles in a Thousand Years: What I Learned While Editing My Life,4.0
Alison Goodman,"Eona: The Last Dragoneye (Eon, #2)",4.0
Louisa May Alcott,"Eight Cousins (Eight Cousins, #1)",4.0
Sue Grafton,"R is for Ricochet (Kinsey Millhone, #18)",4.0
Quinn Loftis,"Prince of Wolves (The Grey Wolves, #1)",4.0
"Doreen Cronin, Harry Bliss",Diary of a Worm,4.0
Susan Cooper,"The Grey King (The Dark Is Rising, #4)",4.0
Kevin Hearne,"Hunted (The Iron Druid Chronicles, #6)",4.0
Emily Snow,"Devoured (Devoured, #1)",4.0
Jane Austen,The Complete Novels,5.0
Michel Faber,The Book of Strange New Things,4.0
Claire LaZebnik,Epic Fail,4.0
Laurell K. Hamilton,"A Caress of Twilight (Merry Gentry, #2)",4.0
Richard Condon,The Manchurian Candidate (Movie Tie-In Edition),4.0
Judy Blume,"Fudge-a-Mania (Fudge, #4)",4.0
James Patterson,"Nevermore (Maximum Ride, #8)",4.0
Anne Lamott,Operating Instructions: A Journal of My Son's First Year,4.0
"Carl Sagan, Ann Druyan",Pale Blue Dot: A Vision of the Human Future in Space,4.0
Abbi Glines,"Simple Perfection (Rosemary Beach, #6; Perfection, #2)",4.0
Richard C. Morais,The Hundred-Foot Journey,4.0
Anthony Horowitz,Scorpia Rising (Alex Rider #9),4.0
Lincoln Peirce,"Big Nate: In a Class by Himself (Big Nate Novels, #1)",4.0
Tim Burton,The Melancholy Death of Oyster Boy and Other Stories,4.0
Edwidge Danticat,"Breath, Eyes, Memory",4.0
"Louis-Ferdinand Céline, Ralph Manheim, William T. Vollmann",Journey to the End of the Night,4.0
Michael Connelly,"The Scarecrow (Jack McEvoy, #2)",4.0
Matt Haig,The Humans,4.0
Anthony Horowitz,"Crocodile Tears (Alex Rider, #8)",4.0
Shaunti Feldhahn,For Women Only: What You Need to Know about the Inner Lives of Men,4.0
"Dean Koontz, Keith Szarabajka","Seize the Night (Moonlight Bay, #2)",4.0
Lynsay Sands,A Quick Bite (Argeneau #1),4.0
Nora Roberts,"Key of Knowledge (Key Trilogy, #2)",4.0
Matthew Reilly,"Ice Station (Shane Schofield, #1)",4.0
Ken Follett,A Dangerous Fortune,4.0
Jasper Fforde,The Well of Lost Plots (Thursday Next #3),4.0
Adam Smith,The Wealth of Nations,4.0
Richard Ford,Canada,3.0
Jasper Fforde,"The Big Over Easy (Nursery Crime, #1)",4.0
"Holly Black, Tony DiTerlizzi","The Seeing Stone (The Spiderwick Chronicles, #2)",4.0
Antony Beevor,"Stalingrad: The Fateful Siege, 1942–1943",4.0
Kyousuke Motomi,"Beast Master, Vol. 1 (Beast Master, #1)",4.0
"Doreen Cronin, Betsy Lewin","Giggle, Giggle, Quack",4.0
Beryl Markham,West with the Night,4.0
Steven Galloway,The Cellist of Sarajevo,4.0
Lisa Kleypas,"Smooth Talking Stranger (Travises, #3)",4.0
Betty White,If You Ask Me (And of Course You Won't),4.0
"René Descartes, Donald A. Cress",Discourse on Method and Meditations on First Philosophy,4.0
Daniel Silva,"The Defector (Gabriel Allon, #9)",4.0
L.M. Montgomery,"Rilla of Ingleside (Anne of Green Gables, #8)",4.0
James Surowiecki,The Wisdom of Crowds,4.0
"Douglas Preston, Lincoln Child","Still Life With Crows (Pendergast, #4)",4.0
"Douglas Preston, Lincoln Child","Fever Dream (Pendergast, #10)",4.0
Ann Aguirre,"Outpost (Razorland, #2)",4.0
Roz Chast,Can't We Talk about Something More Pleasant?,4.0
"Marilyn Manson, Neil Strauss",The Long Hard Road Out of Hell,4.0
BookRags,BookRags Summary:  A Storm of Swords,5.0
Bernard Waber,"Lyle, Lyle, Crocodile",4.0
"José Saramago, Margaret Jull Costa",Death With Interruptions,4.0
Tamora Pierce,"Sandry's Book (Circle of Magic, #1)",4.0
Dean Koontz,Sole Survivor,4.0
"Fredrik Backman, Henning Koch, سمانه پرهیزکاری",Britt-Marie Was Here,4.0
"Rudyard Kipling, Edward Said",Kim,4.0
Anne Bishop,"Written in Red (The Others, #1)",4.0
Nicholas Meyer,The Seven-Percent Solution,4.0
Suzanne Collins,"Gregor and the Marks of Secret (Underland Chronicles, #4)",4.0
Timothy J. Keller,The Prodigal God: Recovering the Heart of the Christian Faith,4.0
Peter Mayle,Toujours Provence,4.0
Jonathan Harr,The Lost Painting,4.0
Chris Bohjalian,The Light in the Ruins,4.0
Sonia Sotomayor,My Beloved World,4.0
Vernor Vinge,"A Deepness in the Sky (Zones of Thought, #2)",4.0
"Immanuel Kant, Paul Guyer, Allen W. Wood",Critique of Pure Reason,4.0
Agatha Christie,"A Murder Is Announced (Miss Marple, #5)",4.0
"Rien Poortvliet, Wil Huygen",Gnomes,4.0
MaryJanice Davidson,"Undead and Unemployed (Undead, #2)",4.0
Hester Browne,"The Little Lady Agency (The Little Lady Agency, #1)",4.0
John Stuart Mill,On Liberty,4.0
Alan Cumming,Not My Father's Son,4.0
Nigella Lawson,"Nigella Express: Good Food, Fast",4.0
D.M. Pulley,The Dead Key,4.0
Jill Shalvis,"Simply Irresistible (Lucky Harbor, #1)",4.0
Sylvain Reynard,"Gabriel's Redemption (Gabriel's Inferno, #3)",4.0
Bryan Lee O'Malley,"Scott Pilgrim, Volume 5: Scott Pilgrim Vs. the Universe",4.0
Atul Gawande,Better: A Surgeon's Notes on Performance,4.0
Kylie Scott,"Play (Stage Dive, #2)",4.0
"Rebecca Housel, J. Jeremy Wisnewski, William Irwin","Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality",4.0
Eric Berne,Games People Play,4.0
Brandon Sanderson,"Mitosis (The Reckoners, #1.5)",4.0
"Alexandre Dumas fils, David Coward",La Dame aux Camélias,4.0
Rachel Hauck,The Wedding Dress,4.0
"Stephen C. Lundin, Harry Paul, John Christensen, Kenneth H. Blanchard",Fish: A Proven Way to Boost Morale and Improve Results,4.0
Stephen E. Ambrose,"D-Day, June 6, 1944: The Battle for the Normandy Beaches",4.0
Linda Sue Park,A Long Walk to Water: Based on a True Story,4.0
Michael  Grant,"Light (Gone, #6)",4.0
"Vi Keeland, Penelope Ward",Stuck-Up Suit,4.0
Philip José Farmer,"To Your Scattered Bodies Go (Riverworld, #1)",4.0
Nora Roberts,Midnight Bayou,4.0
Mark Helprin,Winter's Tale,4.0
Sidney Sheldon,The Doomsday Conspiracy,4.0
Thomas Paine,Common Sense,4.0
Adeline Yen Mah,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,4.0
C.C. Hunter,"Whispers at Moonrise (Shadow Falls, #4)",4.0
Timothy Ferriss,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman",4.0
"Michel Houellebecq, Frank Wynne",The Elementary Particles,4.0
Georgia Cates,"Beauty from Surrender (Beauty, #2)",4.0
Dav Pilkey,"The Adventures of Captain Underpants (Captain Underpants, #1)",4.0
Paul Tough,"How Children Succeed: Grit, Curiosity, and the Hidden Power of Character",4.0
Arthur C. Clarke,The Fountains of Paradise,4.0
Elif Shafak,The Bastard of Istanbul,4.0
David Levithan,Two Boys Kissing,4.0
James Rollins,"The Doomsday Key (Sigma Force, #6)",4.0
Scott B. Smith,The Ruins,4.0
Erin Hunter,"A Dangerous Path (Warriors, #5)",4.0
Michael Blake,"Dances with Wolves (Dances with Wolves, #1)",4.0
Tamora Pierce,"Bloodhound (Beka Cooper, #2)",4.0
Brent Weeks,"The Night Angel Trilogy (Night Angel, #1-3)",4.0
William Faulkner,A Rose for Emily and Other Stories,4.0
Anonymous,The Holy Bible: English Standard Version,5.0
Ellis Peters,"A Morbid Taste for Bones (Chronicles of Brother Cadfael, #1)",4.0
"Giorgio Vasari, Julia Conway Bondanella, Peter Bondanella",The Lives of the Artists,4.0
Sherrilyn Kenyon,"Unleash the Night (Dark Hunter, #8; Were-Hunter, #2)",4.0
Angie Sage,"Syren (Septimus Heap, #5)",4.0
Christos Tsiolkas,The Slap,3.0
"Robert Henri, Forbes Watson, Margery A. Ryerson","The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art (Icon Editions)",4.0
Marcus Sakey,"Brilliance (Brilliance Saga, #1)",4.0
Jonathan Lethem,The Fortress of Solitude,4.0
Dean Koontz,The Darkest Evening of the Year,4.0
Jeff VanderMeer,"Authority (Southern Reach, #2)",4.0
"Holly Black, Tony DiTerlizzi","The Wrath of Mulgarath (The Spiderwick Chronicles, #5)",4.0
Caroline Preston,The Scrapbook of Frankie Pratt,4.0
Myla Goldberg,Bee Season,4.0
Karin Slaughter,"Indelible (Grant County, #4)",4.0
Dean Koontz,Night Chills,4.0
"Ram Dass, Richard Alpert",Be Here Now,4.0
Patricia Cornwell,"Trace (Kay Scarpetta, #13)",4.0
Conn Iggulden,"Genghis: Birth of an Empire (Conqueror, #1)",4.0
David Eddings,"The Ruby Knight (The Elenium, #2)",4.0
Clive Barker,The Thief of Always,4.0
Lara Adrian,"Kiss of Crimson (Midnight Breed, #2)",4.0
Tess Gerritsen,"The Keepsake (Rizzoli & Isles, #7)",4.0
Brad Stone,The Everything Store: Jeff Bezos and the Age of Amazon,4.0
Kresley Cole,Kiss of a Demon King (Immortals After Dark #7),4.0
Steven Erikson,"The Bonehunters (Malazan Book of the Fallen, #6)",4.0
Heidi McLaughlin,"Forever My Girl (The Beaumont Series, #1)",4.0
Ashwin Sanghi,Chanakya's Chant,4.0
Norman Mailer,The Naked and the Dead,4.0
James M. McPherson,Battle Cry of Freedom,4.0
Rob Buyea,Because of Mr. Terupt,4.0
Jeaniene Frost,"One Grave at a Time (Night Huntress, #6)",4.0
Jennifer L. Armentrout,"Apollyon (Covenant, #4)",4.0
Lindsey Kelk,"I Heart New York (I Heart, #1)",4.0
Meg Cabot,"Airhead (Airhead, #1)",4.0
"A.N. Roquelaure, Anne Rice","Beauty's Release (Sleeping Beauty, #3)",4.0
Beth Fantaskey,"Jessica's Guide to Dating on the Dark Side (Jessica, #1)",4.0
E.E. Cummings,"Complete Poems, 1904-1962",4.0
"Larry Bossidy, Ram Charan, Charles Burck",Execution: The Discipline of Getting Things Done,4.0
Caitlin Doughty,Smoke Gets in Your Eyes: And Other Lessons from the Crematory,4.0
Daniel Silva,"The Rembrandt Affair (Gabriel Allon, #10)",4.0
H.P. Lovecraft,The Call of Cthulhu,4.0
"Joe Hill, Christopher Golden",20th Century Ghosts,4.0
David Mitchell,Ghostwritten,4.0
Simon Wood,The One That Got Away,4.0
Richelle Mead,"The Ruby Circle (Bloodlines, #6)",4.0
Grace Lin,Where the Mountain Meets the Moon,4.0
Arthur Ransome,"Swallows and Amazons (Swallows and Amazons, #1)",4.0
Olivia Cunning,"Rock Hard (Sinners on Tour, #2)",4.0
Caitlin Moran,How to Build a Girl,4.0
A.J. Jacobs,The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,4.0
Lisa Gardner,"Touch & Go (Tessa Leoni, #2)",4.0
Chris Bohjalian,The Double Bind,4.0
Mary Kay Andrews,Summer Rental,4.0
S.K. Tremayne,The Ice Twins,4.0
J.A. Redmerski,"The Edge of Always (The Edge of Never, #2)",4.0
Tracy Chevalier,The Virgin Blue,4.0
Michael Moss,Salt Sugar Fat: How the Food Giants Hooked Us,4.0
"Edward Eager, N.M. Bodecker","Half Magic (Tales of Magic, #1)",4.0
"Steve Hockensmith, Jane Austen, Patrick Arrasmith","Dawn of the Dreadfuls (Pride and Prejudice and Zombies, #0.5)",3.0
Lisa Gardner,"Live to Tell (Detective D.D. Warren, #4)",4.0
Helene Hanff,"84, Charing Cross Road",4.0
J.R. Ward,"Father Mine (Black Dagger Brotherhood, #6.5)",5.0
"Thich Nhat Hanh, Arnold Kotler, Dalai Lama XIV",Peace Is Every Step: The Path of Mindfulness in Everyday Life,4.0
Anna Kendrick,Scrappy Little Nobody,4.0
Robert Masello,The Einstein Prophecy,4.0
Kate Atkinson,"Started Early, Took My Dog (Jackson Brodie, #4)",4.0
"Jim Starlin, Jim Aparo, Mike DeCarlo",Batman: A Death in the Family,4.0
Colum McCann,TransAtlantic,4.0
Lisa Lutz,"The Spellman Files (The Spellmans, #1)",4.0
Clive Barker,Books of Blood: Volumes One to Three (Books of Blood #1-3),4.0
James Rollins,"The Judas Strain (Sigma Force, #4)",4.0
Donald Miller,Searching for God Knows What,4.0
Robert   Harris,Fatherland,4.0
Daniel Suarez,"Freedom™ (Daemon, #2)",4.0
Thornton Wilder,The Bridge of San Luis Rey,4.0
Fyodor Dostoyevsky,White Nights,4.0
Laurell K. Hamilton,"Skin Trade (Anita Blake, Vampire Hunter #17)",4.0
Don Ferguson,Disney's the Lion King,4.0
Nora Roberts,"Born in Ice (Born In Trilogy, #2)",4.0
Paul Beatty,The Sellout,4.0
"Bill Willingham, Mark Buckingham, Craig Hamilton, Steve Leialoha, P. Craig Russell","Fables, Vol. 4: March of the Wooden Soldiers",4.0
"Lee Child, Dick Hill",Night School,4.0
Tess Gerritsen,"The Silent Girl (Rizzoli & Isles, #9)",4.0
Dr. Seuss,Horton Hatches the Egg,4.0
Bella Forrest,"A Shade of Blood (A Shade of Vampire, #2)",4.0
"Jenna Miscavige Hill, Lisa Pulitzer",Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,4.0
"Plato, James J. Helm",Apology,4.0
"Garth Ennis, Steve Dillon, Penn Jillette","Preacher, Volume 3: Proud Americans",4.0
Anne Rice,"The Wolf Gift (The Wolf Gift Chronicles, #1)",4.0
Dan Simmons,The Terror,4.0
Ludwig Bemelmans,Madeline's Rescue,4.0
V.C. Andrews,"Garden of Shadows (Dollanganger, #5)",4.0
Kim Harrison,"A Perfect Blood (The Hollows, #10)",4.0
"Joni Eareckson Tada, Joe Musser",Joni: An Unforgettable Story,4.0
"Margaret Weis, Tracy Hickman","War of the Twins (Dragonlance: Legends, #2)",4.0
James Patterson,"Cross Fire (Alex Cross, #17)",4.0
Ross King,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,4.0
Shakti Gawain,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,4.0
Janet Evanovich,"Metro Girl (Alex Barnaby, #1)",4.0
Darynda Jones,"Second Grave on the Left (Charley Davidson, #2)",4.0
"Anya Seton, Philippa Gregory",Katherine,4.0
Marina Lewycka,A Short History of Tractors in Ukrainian,3.0
Kimberly McCreight,Where They Found Her,4.0
Kelley Armstrong,"Industrial Magic (Women of the Otherworld, #4)",4.0
A.G. Riddle,"The Atlantis Plague (The Origin Mystery, #2)",4.0
"Harold G. Moore, Joseph L. Galloway",We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,4.0
Ken Follett,Whiteout,4.0
Barbara W. Tuchman,A Distant Mirror:  The Calamitous 14th Century,4.0
Mike Lupica,Heat,4.0
Neil Strauss,The Game: Penetrating the Secret Society of Pickup Artists,4.0
Sue Grafton,"N is for Noose (Kinsey Millhone, #14)",4.0
Lisa Gardner,"Catch Me (Detective D.D. Warren, #6)",4.0
Debbie Macomber,"The Shop on Blossom Street (Blossom Street, #1)",4.0
Nelson DeMille,"Night Fall (John Corey, #3)",4.0
"Eric Van Lustbader, Robert Ludlum","The Bourne Objective (Jason Bourne, #8)",4.0
Elle Kennedy,"The Score (Off-Campus, #3)",4.0
Karen Kingsbury,"Even Now (Lost Love, #1)",4.0
Anita Shreve,Testimony,4.0
Ilona Andrews,"Magic Rises (Kate Daniels, #6)",4.0
Ben Aaronovitch,"Whispers Under Ground (Peter Grant, #3)",4.0
"James Patterson, Maxine Paetro","Unlucky 13 (Women’s Murder Club, #13)",4.0
Sidney Sheldon,The Best Laid Plans,4.0
Terry Pratchett,Nation,4.0
Lisa Kleypas,"Secrets of a Summer Night (Wallflowers, #1)",4.0
Ted Dekker,"Red: The Heroic Rescue (The Circle, #2)",4.0
Louise Penny,"A Trick of the Light (Chief Inspector Armand Gamache, #7)",4.0
Jennifer L. Armentrout,"White Hot Kiss (The Dark Elements, #1)",4.0
H.P. Lovecraft,At the Mountains of Madness and Other Tales of Terror,4.0
Mary Karr,Lit,4.0
Kathryn Erskine,Mockingbird,4.0
Zilpha Keatley Snyder,"The Egypt Game (Game, #1)",4.0
Kaye Gibbons,Ellen Foster,4.0
"Franz Kafka, Nahum N. Glatzer, John Updike, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins",The Complete Stories,4.0
"Margaret Weis, Tracy Hickman","Test of the Twins (Dragonlance: Legends, #3)",4.0
Flannery O'Connor,Wise Blood,4.0
Terry Brooks,"Running with the Demon (Word & Void, #1)",4.0
Kresley Cole,Lothaire (Immortals After Dark #12),4.0
Mo Willems,"Knuffle Bunny Too: A Case of Mistaken Identity (Knuffle Bunny, #2)",4.0
David Baldacci,"The Whole Truth (A. Shaw, #1)",4.0
Ruta Sepetys,Out of the Easy,4.0
"Ed Brubaker, Doug Mahnke, Patrick Zircher, Aaron Sowd, Steve Bird",Batman: The Man Who Laughs,4.0
Erin Hunter,"Midnight (Warriors: The New Prophecy, #1)",4.0
Ben Horowitz,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,4.0
Nora Roberts,"Shadow Spell (The Cousins O'Dwyer Trilogy, #2)",4.0
Simon Garfield,Just My Type: A Book About Fonts,4.0
J.D. Robb,"Promises in Death (In Death, #28)",4.0
Charles Bukowski,Love Is a Dog from Hell,4.0
N.K. Jemisin,"The Fifth Season (The Broken Earth, #1)",4.0
R.D. Ronald,The Zombie Room,4.0
John Katzenbach,The Analyst,4.0
Jasper Fforde,Shades of Grey,4.0
S.E. Hinton,"That Was Then, This Is Now",4.0
Kevin    Wilson,The Family Fang,4.0
Alan Bradley,"A Red Herring Without Mustard (Flavia de Luce, #3)",4.0
Doris Kearns Goodwin,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,4.0
Richard Russo,Straight Man,4.0
"Anton Chekhov, Tom    Murphy",The Cherry Orchard,4.0
Wendy Mass,"11 Birthdays (Willow Falls, #1)",4.0
Ann Brashares,"Sisterhood Everlasting (Sisterhood, #5)",4.0
Grant Naylor,Infinity Welcomes Careful Drivers (Red Dwarf #1),4.0
Christopher Moore,Coyote Blue,4.0
G.K. Chesterton,Orthodoxy,4.0
Graham Greene,The Heart of the Matter,4.0
Jeff Kinney,"The Long Haul (Diary of a Wimpy Kid, #9)",4.0
"Patricia C. Wrede, Peter de Sève","Talking to Dragons (Enchanted Forest Chronicles, #4)",4.0
"James Patterson, Howard Roughan",Sail,4.0
"Neil Gaiman, Chris Riddell",The Sleeper and the Spindle,4.0
"A.N. Roquelaure, Anne Rice","Beauty's Punishment (Sleeping Beauty, #2)",4.0
Dee Henderson,"The Negotiator (O'Malley, #1)",4.0
Ravinder Singh,Can Love Happen Twice?,3.0
"Gregory Maguire, Douglas Smith","A Lion Among Men (The Wicked Years, #3)",3.0
Raymond E. Feist,"Shadow of a Dark Queen (The Serpentwar Saga, #1)",4.0
Tobias Wolff,This Boy's Life,4.0
Jonathan Maberry,"Patient Zero (Joe Ledger, #1)",4.0
Willa Cather,Death Comes for the Archbishop,4.0
Patricia Briggs,"Fair Game (Alpha & Omega, #3)",4.0
Rick Riordan,"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)",4.0
"Molière, Martin Sorrell",Tartuffe,4.0
Larissa Ione,Passion Unleashed (Demonica #3),4.0
Mercer Mayer,Just for You (Little Critter),4.0
James Rollins,Amazonia,4.0
David D. Burns,Feeling Good: The New Mood Therapy,4.0
Nora Roberts,Blue Smoke,4.0
Patricia Cornwell,"Predator (Kay Scarpetta, #14)",4.0
"Ivan Goncharov, Stephen Pearl, Galya Diment",Oblomov,4.0
Clive Cussler,"Inca Gold (Dirk Pitt, #12)",4.0
Ruth Reichl,Delicious!,4.0
"Po Bronson, Ashley Merryman",NurtureShock: New Thinking About Children,4.0
Nelson DeMille,"Wild Fire (John Corey, #4)",4.0
Mary Higgins Clark,Two Little Girls in Blue,4.0
"Raymond E. Feist, Janny Wurts","Daughter of the Empire (The Empire Trilogy, #1)",4.0
Neal Shusterman,"Everlost (Skinjacker, #1)",4.0
Kresley Cole,Dreams of a Dark Warrior (Immortals After Dark #11),4.0
"John Grisham, Richard Thomas","Theodore Boone: Kid Lawyer (Theodore Boone, #1)",4.0
Richard Peck,"A Year Down Yonder (A Long Way from Chicago, #2)",4.0
Kristen Ashley,"Own the Wind (Chaos, #1)",4.0
Ann Brashares,My Name Is Memory,4.0
Jeanette Winterson,Written on the Body,4.0
Colleen Houck,"Tiger's Voyage (The Tiger Saga, #3)",4.0
Dean Koontz,"Dead and Alive (Dean Koontz's Frankenstein, #3)",4.0
Matt Ridley,Genome: the Autobiography of a Species in 23 Chapters,4.0
Sandra Boynton,The Going-To-Bed Book,4.0
Louise Rennison,"Knocked Out by My Nunga-Nungas (Confessions of Georgia Nicolson, #3)",4.0
"Tim LaHaye, Jerry B. Jenkins","Desecration (Left Behind, #9)",4.0
Phil Klay,Redeployment,4.0
Libba Bray,Going Bovine,4.0
James M. Cain,The Postman Always Rings Twice,4.0
Carrie Ryan,"The Dead-Tossed Waves (The Forest of Hands and Teeth, #2)",4.0
Robert Kurson,Shadow Divers,4.0
Clare Vanderpool,Moon Over Manifest,4.0
Amitav Ghosh,The Glass Palace,4.0
"Jessica Anthony, Rodrigo Corral",Chopsticks,4.0
James Dashner,"The Eye of Minds (The Mortality Doctrine, #1)",4.0
Agatha Christie,"4:50 from Paddington (Miss Marple, #8)",4.0
J.D. Robb,"Ceremony in Death (In Death, #5)",4.0
"Jo Nesbø, Don Bartlett","Cockroaches (Harry Hole, #2)",4.0
Charlaine Harris,"Grave Surprise (Harper Connelly, #2)",4.0
"Isabel Allende, Margaret Sayers Peden","City of the Beasts (Eagle and Jaguar, #1)",4.0
China Miéville,"The Scar (Bas-Lag, #2)",4.0
